Country,Ladderscore,Population,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Uzbekistan,6.257599831,34193243,8.740371704,0.926595807,65.10757446,0.974998116,0.501497388
Chile,6.228499889,19678363,10.0320549,0.879713595,69.90061951,0.744896293,0.838239431
Bahrain,6.227300167,1483756,10.67638016,0.876342118,68.5,0.905855775,0.7393471
Lithuania,6.215499878,2790044,10.34362602,0.926107109,67.29407501,0.747381449,0.809583843
Trinidad and Tobago,6.191899776,1366725,10.26000214,0.91529417,63.5,0.857907116,0.912230611
Poland,6.186299801,38268000,10.26512432,0.874257445,69.31113434,0.862055779,0.686927021
Colombia,6.163400173,51049498,9.500369072,0.884440243,67.69958496,0.836179912,0.86457181
Cyprus,6.15899992,888005,10.40570259,0.805996239,73.70222473,0.779858291,0.856271744
Nicaragua,6.13710022,6527691,8.493160248,0.857497036,67.50717926,0.863902867,0.665950119
Romania,6.123700142,19317984,10.107584,0.825161517,67.20723724,0.842823207,0.934300244
Kuwait,6.102099895,4464521,11.08982468,0.846475244,66.76764679,0.872366488,0.760849059
Mauritius,6.101299763,1266030,9.956786156,0.910357833,66.40434265,0.889534533,0.805343091
Kazakhstan,6.057899952,18889456,10.11465836,0.934744895,64.60996246,0.811601937,0.764490843
Estonia,6.021800041,1329460,10.34001732,0.934729993,68.60495758,0.87770915,0.623073816
Philippines,6.006000042,109966267,8.993545532,0.846730053,61.92676163,0.915463448,0.733634114
Hungary,6.000400066,9731000,10.24924374,0.921934128,67.60997009,0.718964577,0.892916501
Thailand,5.998799801,66623842,9.741791725,0.889973223,67.25059509,0.905063033,0.886272311
Argentina,5.974699974,45808747,9.810955048,0.900567949,68.80380249,0.831132412,0.842009842
Honduras,5.953199863,9450711,8.424534798,0.821870148,67.19876862,0.870603263,0.801131904
Latvia,5.949999809,1891300,10.17531967,0.918288589,66.8074646,0.671237648,0.795580089
Ecuador,5.925199986,17692648,9.246058464,0.836418986,68.50003815,0.859828949,0.801215112
Portugal,5.910900116,10295909,10.26374245,0.886590719,72.40202332,0.888747811,0.892629504
Jamaica,5.889800072,2734093,9.006250381,0.915701866,67.09999847,0.858068526,0.888890028
South Korea,5.872399807,51824142,10.51056671,0.799387157,73.6027298,0.612965107,0.789067447
Japan,5.870800018,125620000,10.57968903,0.883545935,75.00096893,0.809961379,0.654558063
Peru,5.796800137,33035304,9.456313133,0.831075251,68.10023499,0.824766099,0.893714964
Serbia,5.77820015,69226705,9.680980682,0.881475747,68.21020508,0.726495862,0.843509018
Bolivia,5.747499943,11797257,8.851115227,0.803108692,63.6004715,0.875873327,0.822606206
Pakistan,5.69329977,225200000,8.482727051,0.689062297,58.25313568,0.734833717,0.745705426
Paraguay,5.692100048,7353038,9.389982224,0.898727894,65.63993835,0.885923445,0.834788501
Dominican Republic,5.689199924,10535535,9.664880753,0.882085383,65.80748749,0.866202772,0.755999923
Bosnia and Herzegovina,5.674099922,3332593,9.455817223,0.829204142,67.80813599,0.651352704,0.933769107
Moldova,5.607500076,2640438,8.776714325,0.843313575,65.01301575,0.721609175,0.913314283
Tajikistan,5.555699825,9313800,8.024810791,0.835297108,64.10459137,0.831383407,0.592076063
Montenegro,5.54610014,621873,9.751860619,0.855314612,68.50534821,0.649565637,0.783121586
Russia,5.546000004,146238185,10.12887192,0.903150737,64.10045624,0.729892612,0.864802599
Kyrgyzstan,5.541500092,6626800,8.148405075,0.887228489,64.10601044,0.909374893,0.888396084
Belarus,5.539899826,9408350,9.779945374,0.90674746,66.10433197,0.639163077,0.63571167
North Cyprus,5.53550005,888005,10.40570259,0.820356607,73.70222473,0.79529351,0.62611568
Greece,5.514999866,10718565,10.13232613,0.814380348,72.40525818,0.541345119,0.859931409
Hong Kong S.A.R. of China,5.510399818,7474200,10.9346714,0.845969081,76.77170563,0.779833794,0.420607209
Croatia,5.504700184,4047200,10.07087517,0.874623716,70.21490479,0.714838803,0.916495264
Libya,5.488800049,6959000,9.789815903,0.825942934,62.29999924,0.773157001,0.668779135
Mongolia,5.456200123,3367792,9.412186623,0.937142491,62.30448532,0.693351328,0.863511205
Malaysia,5.384300232,32753130,10.26251888,0.816509426,67.10215759,0.894626856,0.839302301
Vietnam,5.353499889,97580000,8.809545517,0.849987149,67.9527359,0.939592957,0.79642123
Indonesia,5.285600185,270203917,9.36975193,0.808379889,62.15584946,0.870614409,0.876296401
Ivory Coast,5.233300209,27087732,8.225561142,0.658048689,49.50377274,0.727909327,0.790771961
Benin,5.21600008,12506347,7.674319744,0.468671143,54.31246567,0.735182583,0.740532577
Maldives,5.197599888,383135,9.518632889,0.91316092,70.59999847,0.853962779,0.824211061
Congo (Brazzaville),5.194399834,5657000,8.536987305,0.640228093,57.92448044,0.719058514,0.751779079
Azerbaijan,5.164800167,10122148,9.687726974,0.819308281,65.50839996,0.786824107,0.55253756
Macedonia,5.159800053,2076255,9.510591507,0.820392311,67.50442505,0.738840938,0.897490501
Ghana,5.147999763,30955202,8.350645065,0.728601098,57.20398712,0.794796526,0.847964764
Nepal,5.137199879,30378055,7.925357342,0.785512447,63.77917862,0.797565043,0.738099158
Turkey,5.131800175,83614362,10.12941933,0.826313555,66.90281677,0.608830452,0.748197377
China,5.123899937,1407097640,9.688568115,0.798760593,69.2891922,0.898517907,0.7539711
Turkmenistan,5.119100094,6118000,9.74803257,0.958966196,62.21170807,0.826457024,0.883691847
Bulgaria,5.101500034,6951482,9.869318962,0.937840343,66.80397797,0.745178163,0.935585141
Morocco,5.094799995,36193243,8.940313339,0.592628479,65.89624023,0.772072434,0.815724611
Cameroon,5.084899902,24348251,8.118647575,0.700386405,52.7049408,0.763051808,0.851336598
Venezuela,5.053199768,28087732,8.977793694,0.890408158,66.50534058,0.62327832,0.837038398
Algeria,5.005099773,44700000,9.537964821,0.803385139,65.90517426,0.466610909,0.735485137
Senegal,4.980800152,17223497,8.118982315,0.723616004,59.59915161,0.690596163,0.808785141
Guinea,4.949299812,12907395,7.750990391,0.637573481,54.46780014,0.706846774,0.761794448
Niger,4.909599781,24112753,6.842166901,0.617435038,53.50009537,0.759772122,0.722530186
Laos,4.888599873,7337783,8.79858017,0.737502217,58.70992279,0.907213569,0.634679317
Albania,4.882699966,2845955,9.417930603,0.671070457,68.70813751,0.781994224,0.896303713
Cambodia,4.848400116,15552211,8.249890327,0.773080647,61.52996826,0.959704638,0.822769046
Bangladesh,4.832799911,170335394,8.287063599,0.687292993,64.50306702,0.90062499,0.661843538
Gabon,4.829299927,2233272,9.680537224,0.787886858,59.71533966,0.704829216,0.849150956
South Africa,4.814099789,59622350,9.403370857,0.852532268,56.50601196,0.759330094,0.843423843
Iraq,4.784800053,41190700,9.661095619,0.747694969,59.90354919,0.633182645,0.82226181
Lebanon,4.771500111,6769000,9.3617239,0.824338138,67.10658264,0.551357508,0.90225625
Burkina Faso,4.768700123,21510181,7.46854496,0.712943614,53.88945389,0.665563583,0.739795029
Gambia,4.750599861,2335504,7.321814537,0.6931687,55.0120163,0.733163178,0.690717816
Mali,4.729300022,20856000,7.629852295,0.731468976,51.72698212,0.71156615,0.839328408
Nigeria,4.724100113,211401000,8.57662487,0.73721689,49.86190796,0.759578407,0.861874342
Armenia,4.676799774,2967900,9.100476265,0.757479429,66.75065613,0.712017834,0.773544788
Georgia,4.672599792,3716858,9.226100922,0.629033029,64.49520874,0.801641524,0.665944695
Iran,4.672399998,84283205,9.813719749,0.694689691,66.00614929,0.647873282,0.714635968
Jordan,4.633399963,10902072,9.025999069,0.80216372,66.79975128,0.75104779,0.700344324
Mozambique,4.623600006,30832244,7.069345951,0.723874032,54.20582199,0.864451885,0.683019102
Kenya,4.583000183,47564296,8.02977562,0.702652037,60.09693146,0.829747558,0.831499159
Namibia,4.571100235,2550226,9.203141212,0.846880972,56.50148773,0.767520964,0.851449788
Ukraine,4.56069994,41588354,9.010690689,0.878879368,64.60678101,0.663081884,0.920636714
Liberia,4.557899952,4661010,7.054380417,0.70928055,56.09631348,0.735268712,0.856375933
Palestinian Territories,4.552800179,5227193,8.389223099,0.825295925,62.25,0.645791829,0.824199975
Uganda,4.43200016,42885900,7.500389576,0.764994621,55.70820236,0.731713951,0.836737812
Chad,4.422699928,16818391,7.467963696,0.632388055,48.22053909,0.587305248,0.802760839
Tunisia,4.392199993,11708370,9.314972878,0.688718557,66.89785767,0.593361557,0.867590249
Mauritania,4.374599934,4271197,8.233919144,0.790819228,57.01017761,0.551522553,0.746223509
Sri Lanka,4.327000141,21919000,9.389969826,0.825374067,67.20006561,0.837633669,0.859001756
Congo (Kinshasa),4.31099987,106731000,6.694256306,0.672159016,52.90000153,0.700793564,0.809403598
Swaziland,4.308100224,1168859,9.16267395,0.770290196,51.18823624,0.646822274,0.708263338
Myanmar,4.308000088,55294979,8.680481911,0.78440702,58.96171188,0.895075202,0.645124316
Comoros,4.288599968,758316,7.833630085,0.625662446,57.34901047,0.547612607,0.780622602
Togo,4.187200069,7886000,7.357711315,0.551312625,54.71989822,0.649828613,0.757733464
Ethiopia,4.186200142,117876000,7.509385586,0.743307352,58.63959122,0.740795195,0.753690004
Madagascar,4.165599823,26923353,7.281685829,0.668195903,59.10542679,0.557574093,0.817485631
Egypt,4.151400089,101629164,9.316541672,0.735447824,61.78015137,0.708354175,0.787726879
Sierra Leone,3.926399946,8297882,7.26880312,0.636142015,50.86514282,0.715315044,0.861330688
Burundi,3.775300026,12574571,6.492642403,0.490325719,53.40000153,0.626350224,0.606934547
Zambia,3.759399891,18400556,8.224720001,0.698824465,55.29937744,0.806500256,0.801289678
Haiti,3.720799923,11743017,7.411329269,0.593247831,55.59862518,0.537825167,0.684767246
Lesotho,3.652800083,2007201,7.960488319,0.780495703,48.00362396,0.738125861,0.857392073
India,3.573299885,1374587399,8.849823952,0.592200935,60.21518707,0.881444871,0.772042692
Malawi,3.538000107,18898441,7.062226295,0.544007301,57.59288788,0.803223193,0.731700778
Yemen,3.527400017,30491000,7.759682655,0.817980587,56.72728348,0.599920273,0.800287724
Botswana,3.478899956,2410338,9.711203575,0.779121757,58.92445374,0.821328104,0.777930915
Tanzania,3.476200104,59441988,7.967665195,0.688933194,57.49607468,0.82153976,0.619799435
Central African Republic,3.475899935,5633412,6.625160217,0.319459856,45.20000076,0.640880644,0.891806662
Rwanda,3.312299967,12955768,7.600104332,0.54083544,61.09884644,0.900589406,0.183541179
Zimbabwe,3.299200058,15790716,7.865711689,0.763092756,55.61725998,0.711457908,0.81023699
South Sudans,2.816600084,13249924,7.425359726,0.553707123,51,0.451313615,0.763417304
Afghanistan,2.566900015,32890171,7.462860584,0.470366955,52.59000015,0.396573007,0.933686554
